Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
yy	y y	8	U+0079 U+0079	"kayye,mayyi,tayye"	Gawwada
zz	z z	3	U+007A U+007A	"ʔizzah,ʔizzah_ʔizzah"	Gawwada
ú$	ú	3	U+00FA U+0024	"ye=leefamú,ye=šaʔú,ye=ʔawšú"	Gawwada
ħ$	ħ	1	U+0127 U+0024	"poħ"	Gawwada
š$	ʃ	15	U+0161 U+0024	"šikkaaraš,ʔawšaš,ʔooš"	Gawwada
šš	ʃ ʃ	7	U+0161 U+0161	"kala_ʔašša,qoššo,ʔašša"	Gawwada
ɓ$	ɓ	1	U+0253 U+0024	"tuɓ"	Gawwada
ɓɓ	ɓ ɓ	2	U+0253 U+0253	"rooɓɓile,xaaraɓɓo"	Gawwada
ɗ$	ɗ	46	U+0257 U+0024	"toolaɗ,waarakkooɗ,xasooɗ"	Gawwada
ɗɗ	ɗ ɗ	10	U+0257 U+0257	"huɗɗa=pa_xupin,qaɗɗummo,šaaɗɗe"	Gawwada
ɠ$	ɠ	3	U+0260 U+0024	"hiɠ,poɠ,šiɠ"	Gawwada
ɠɠ	ɠ ɠ	3	U+0260 U+0260	"poɠɠi,ɗaɠɠap,ɗaɠɠis"	Gawwada
ɲɲ	ɲ ɲ	1	U+0272 U+0272	"mooɲɲe"	Gawwada
ʔ$	ʔ	7	U+0294 U+0024	"fuʔ,woʔ,šaʔ"	Gawwada
ʕ$	ʕ	14	U+0295 U+0024	"haʕ,puʕ,ɠeeʕ"	Gawwada
ʕs	ʕ s	2	U+0295 U+0073	"ʔošoʕsaɗ"	Gawwada
ʕʕ	ʕ ʕ	3	U+0295 U+0295	"hoʕʕi,leʕʕo"	Gawwada
^=s	+ s	3	U+005E U+003D U+0073	"=sa,=si"	Gawwada
^k’	kʼ	21	U+005E U+006B U+2019	"k’aca,k’arat’t’o,k’ám_pay"	
^t’	tʼ	12	U+005E U+0074 U+2019	"t’af,t’arat’t’ar,t’iip"	
ee$	eː	1	U+0065 U+0065 U+0024	"ʔee"	Gawwada
na=sooʕa$	n a + s o o ʕ a	2	U+006E U+0061 U+003D U+0073 U+006F U+006F U+0295 U+0061 U+0024	"ʔille_na=sooʕa"	
