Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
ŋs	ŋ s	1	U+014B U+0073	"qoŋsajdo"	Ket
ŋŋ	ŋː	2	U+014B U+014B	"eŋŋuŋ,eŋŋuŋbers"	Ket
ō$	ō/o	10	U+014D U+0024	"qusam_bənsaŋ_qō,qusam_əɣam_qō,ɯnam_bənsaŋ_qō"	Ket
ū$	ū/u	4	U+016B U+0024	"bū,tū"	Ket
ə$	ə	2	U+0259 U+0024	"ogə,ɯɯltə"	Ket
əə	əː	3	U+0259 U+0259	"qəəl,səət,təəl"	Ket
əˀ	əˀ	16	U+0259 U+02C0	"dəˀq,həˀŋ,qəˀq"	Ket
ə̀	ə̀/ə	2	U+0259 U+0300	"bə̀ɣ,də̀j"	Ket
ə̄	ə̄/ə	9	U+0259 U+0304	"bə̄n,kə̄t,tə̄ŋ"	Ket
ɣ$	ɣ	10	U+0263 U+0024	"dūɣ,hīɣ,utiɣ"	Ket
ɯˀ	ɯˀ	8	U+026F U+02C0	"bɯˀs,hɯˀp,hɯˀŋ"	Ket
ɯ̀	ɯ̀/ɯ	3	U+026F U+0300	"hɯ̀s,qɯ̀r"	Ket
ɯ̄	ɯ̄/ɯ	24	U+026F U+0304	"qɯ̄_baˀŋ,qɯ̄t,tɯ̄t"	Ket
ʁ$	ʁ	5	U+0281 U+0024	"dàʁ,lə̄ʁ,qòʁ"	Ket
^aa	aː	3	U+005E U+0061 U+0061	"aal,aas,aaŋ"	Ket
^aˀ	aˀ	4	U+005E U+0061 U+02C0	"aˀq,aˀt"	
^ee	eː	1	U+005E U+0065 U+0065	"eeboks"	Ket
^eˀ	eˀ	3	U+005E U+0065 U+02C0	"eˀj,eˀk,eˀp"	Ket
^iˀ	iˀ	6	U+005E U+0069 U+02C0	"iˀl,iˀn,iˀs"	Ket
^oo	oː	4	U+005E U+006F U+006F	"ool,oolɢat,ooŋ"	Ket
^oˀ	oˀ	2	U+005E U+006F U+02C0	"oˀn"	Ket
^uu	uː	1	U+005E U+0075 U+0075	"uul"	Ket
^uˀ	uˀ	1	U+005E U+0075 U+02C0	"uˀt"	Ket
^əə	əː	3	U+005E U+0259 U+0259	"əəlsin,əəntet,əət"	Ket
^əˀ	əˀ	3	U+005E U+0259 U+02C0	"əˀk,əˀl"	Ket
^ə̀	ə̀/ə	2	U+005E U+0259 U+0300	"ə̀ɣ"	Ket
^ə̄	ə̄/ə	9	U+005E U+0259 U+0304	"ə̄n,ə̄t,ə̄ɣ"	Ket
^ɯɯ	ɯː	3	U+005E U+026F U+026F	"ɯɯl,ɯɯltə,ɯɯt"	Ket
^ɯˀ	ɯˀ	1	U+005E U+026F U+02C0	"ɯˀk"	Ket
^ɯ̀	ɯ̀/ɯ	3	U+005E U+026F U+0300	"ɯ̀n,ɯ̀r,ɯ̀s"	Ket
^ɯ̄	ɯ̄/ɯ	4	U+005E U+026F U+0304	"ɯ̄ks,ɯ̄n"	Ket
eˀ$	eˀ	3	U+0065 U+02C0 U+0024	"deˀ,taɣəm_eˀ"	Ket
ii$	iː	2	U+0069 U+0069 U+0024	"bii,tii"	Ket
iˀ$	iˀ	17	U+0069 U+02C0 U+0024	"kiˀ,siɣamas_iˀ,tiˀ"	Ket
js$	j + s	6	U+006A U+0073 U+0024	"daan_intijs,dansolejs,qəlajs"	Ket
ks$	k s	20	U+006B U+0073 U+0024	"bejoks,duroks,qōks"	Ket
kss	k sː	1	U+006B U+0073 U+0073	"qonokssajdo"	Ket
ls$	l + s	6	U+006C U+0073 U+0024	"dangols,oŋtils,qotils"	Ket
ns$	n + s	3	U+006E U+0073 U+0024	"kəns,usens"	Ket
oo$	oː	6	U+006F U+006F U+0024	"doo,qoo"	Ket
oˀ$	oˀ	1	U+006F U+02C0 U+0024	"qoˀ"	Ket
qs$	q + s	3	U+0071 U+0073 U+0024	"daqs,dədoqs,sijaqs"	Ket
rs$	r + s	1	U+0072 U+0073 U+0024	"eŋŋuŋbers"	Ket
ts$	t + s	7	U+0074 U+0073 U+0024	"aŋbets,ejtets,siɣits"	Ket
uu$	uː	1	U+0075 U+0075 U+0024	"huu"	Ket
uˀ$	uˀ	2	U+0075 U+02C0 U+0024	"duˀ,kuˀ"	Ket
ìs$	ì/i s	2	U+00EC U+0073 U+0024	"dìs"	Ket
òs$	ò/o s	11	U+00F2 U+0073 U+0024	"bena_qòs,qòs"	Ket
ās$	ā/a s	1	U+0101 U+0073 U+0024	"hās"	Ket
ēs$	ē/e s	2	U+0113 U+0073 U+0024	"dēs,sēs"	Ket
ŋs$	ŋ + s	5	U+014B U+0073 U+0024	"handaŋs,həlataŋ_kēŋs,uddiŋs"	Ket
ōs$	ō/o s	2	U+014D U+0073 U+0024	"lōs"	Ket
əə$	əː	6	U+0259 U+0259 U+0024	"həə,səə"	Ket
əˀ$	əˀ	1	U+0259 U+02C0 U+0024	"təˀ"	Ket
ɯɯ$	ɯː	1	U+026F U+026F U+0024	"sɯɯ"	Ket
ɯˀ$	ɯˀ	1	U+026F U+02C0 U+0024	"dɯˀ"	Ket
ɯ̄$	ɯ̄/ɯ	4	U+026F U+0304 U+0024	"kɯ̄,qɯ̄,tɯ̄"	Ket
lsˀ$	l + sˀ	1	U+006C U+0073 U+02C0 U+0024	"senkalabelsˀ"	Ket
