Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
č$	tʃ	12	U+010D U+0024	"mač,pač,peč"	Archi
č'	tʃʼ	10	U+010D U+0027	"hanqː'a_č'uˤmmus,margəč'em,q'ič'itːut"	
čʼ	tʃʼ	19	U+010D U+02BC	"haˤnčʼbos,kʼočʼo,oˤčʼi"	Archi
č’	tʃʼ	2	U+010D U+2019	"dič’,guruč’an"	Archi
ħ$	ħ	4	U+0127 U+0024	"parčaħ,talaħ,tempiħ"	Archi
š$	ʃ	9	U+0161 U+0024	"baˤš,kišiš,qʼumaš"	Archi
šː	ʃː	3	U+0161 U+02D0	"qʼarzlis_šːubuss,rišːitːu,uˤnšːəla"	Archi
ž$	ʒ	2	U+017E U+0024	"birinž,χarž"	Archi
ɬ$	ɬ	6	U+026C U+0024	"moɬ,oɬ,wikɬ"	Archi
ɬ'	ɬʼ	16	U+026C U+0027	"kɬ'ir_gʷarči,kɬ'uˤraˤmči,t'ekɬ'on"	Archi
ɬʼ	ɬʼ	21	U+026C U+02BC	"kɬʼarak,kɬʼir_doχotːur_lo,oˤntlit_dabχartːub_tʼekɬʼon"	Archi
ɬː	ɬː	15	U+026C U+02D0	"dinislam_ɬːas,jatːik_eɬːas,moɬːo"	Archi
ɬ’	ɬʼ	5	U+026C U+2019	"hekɬ’ena,kɬ’ol,χˤakɬ’bos"	Archi
ʁ$	ʁ	2	U+0281 U+0024	"baʁ,jaraʁ"	Archi
ʁˤ	ʁˤ	3	U+0281 U+02E4	"burʁˤurbos,iʁˤda,q'ˤábʁˤdut"	Archi
χ$	χ	13	U+03C7 U+0024	"inχ,parχ,tariχ"	Archi
χʷ	χʷ	2	U+03C7 U+02B7	"k'ʷet'_χʷarši,k'ʷet'_χʷaršilin_χal"	Archi
χː	χː	9	U+03C7 U+02D0	"daχːəza,eˤčʼ_sotʼu_eχːas,marχːəla"	Archi
χˤ	χˤ	19	U+03C7 U+02E4	"ejχˤurt,iχˤmul_as,čaχˤbos"	Archi
^aː	aː	4	U+005E U+0061 U+02D0	"aːcʼutːut,aːtas,aːč'at'utːut"	Archi
^aˤ	aˤ	4	U+005E U+0061 U+02E4	"aˤpaˤsi,aˤrbatːut_iq,aˤrum"	Archi
^c'	tsʼ	1	U+005E U+0063 U+0027	"c'iχːəkes"	
^cʼ	tsʼ	9	U+005E U+0063 U+02BC	"cʼan,cʼaħan,cʼunas"	Archi
^c’	tsʼ	11	U+005E U+0063 U+2019	"c’aj,c’am,c’aħannin_ustar"	
