pk,jsondata,id,name,description,markup_description,unit_pk,unitparameter_pk,contribution_pk,unitdomainelement_pk,frequency,version
45,,7311315959957622-a,,,,37,2,16,1453,,1
46,,7311315276063582-a,,,,38,2,16,310,,1
47,,7311315372667842-a,,,,39,2,16,1453,,1
48,,731131549766829-a,,,,40,2,16,1453,,1
49,,7311315699390889-a,,,,41,2,16,1453,,1
50,,7311315854063591-a,,,,42,2,16,1453,,1
51,,731131526236439-a,,,,43,2,16,1453,,1
52,,7311315399510425-a,,,,44,2,16,1453,,1
53,,7311315520683197-a,,,,45,2,16,1453,,1
54,,7311315674845725-a,,,,46,2,16,1453,,1
55,,7311315968547388-a,,,,47,2,16,1453,,1
56,,731131536406359-a,,,,48,2,16,1453,,1
57,,7311315483829072-a,,,,49,2,16,1453,,1
58,,7311315824543864-a,,,,50,2,16,1453,,1
59,,7311315294799918-a,,,,51,2,16,1453,,1
60,,7311315410609127-a,,,,52,2,16,1453,,1
61,,7311315410609127-cs,,,,52,1,16,5,,1
62,,731131598012251-a,,,,53,2,16,1453,,1
63,,7311315454443596-a,,,,54,2,16,310,,1
64,,7311315615637106-a,,,,55,2,16,1453,,1
65,,7311315208848739-a,,,,56,2,16,1453,,1
66,,7311315199420644-a,,,,57,2,16,1453,,1
67,,7311315850965806-a,,,,58,2,16,1453,,1
68,,7311315473169357-a,,,,59,2,16,1453,,1
69,,7311315480601979-a,,,,60,2,16,1453,,1
70,,7311315669978011-a,,,,61,2,16,1453,,1
71,,7311315883369414-a,,,,62,2,16,1453,,1
72,,7311315431718998-a,,,,63,2,16,1453,,1
73,,7311315216872984-a,,,,64,2,16,313,,1
74,,7311315216872984-cs,,,,64,1,16,5,,1
75,,7311315177652485-a,,,,65,2,16,1453,,1
76,,7311315977995843-a,,,,66,2,16,312,,1
77,,7311315977995843-cs,,,,66,1,16,2,,1
78,,7311315891748518-a,,,,67,2,16,312,,1
79,,7311315891748518-cs,,,,67,1,16,2,,1
80,,7311315123645585-a,,,,68,2,16,314,,1
81,,7311315123645585-cs,,,,68,1,16,5,,1
82,,7311315199122370-a,,,,69,2,16,1453,,1
83,,7311315377472364-a,,,,70,2,16,1453,,1
84,,7311315809736010-a,,,,71,2,16,1453,,1
85,,7311315809736010-cs,,,,71,1,16,4,,1
86,,7311315539325959-a,,,,72,2,16,1453,,1
87,,7311315349693605-a,,,,73,2,16,311,,1
88,,7311315349693605-cs,,,,73,1,16,1,,1
89,,7311315237617885-a,,,,74,2,16,1453,,1
90,,7311315353830519-a,,,,75,2,16,1453,,1
91,,7311315415423847-a,,,,76,2,16,1453,,1
92,,7311315456326547-a,,,,77,2,16,1453,,1
93,,7311315228426-a,,,,78,2,16,1453,,1
94,,731131576835385-a,,,,79,2,16,1453,,1
95,,7311315405394931-a,,,,80,2,16,1453,,1
96,,7311315125117187-a,,,,81,2,16,1453,,1
97,,7311315221902144-a,,,,82,2,16,309,,1
98,,7311315686598842-a,,,,83,2,16,310,,1
99,,7311315748993004-a,,,,84,2,16,309,,1
100,,7311315861067896-a,,,,85,2,16,310,,1
101,,7311315157084950-a,,,,86,2,16,312,,1
102,,7311315157084950-cs,,,,86,1,16,2,,1
103,,7311315644952281-a,,,,87,2,16,314,,1
104,,7311315644952281-cs,,,,87,1,16,5,,1
105,,7311315656871184-a,,,,88,2,16,314,,1
106,,7311315656871184-cs,,,,88,1,16,5,,1
107,,7311315550811588-a,,,,89,2,16,1453,,1
108,,7311315764263917-a,,,,90,2,16,1453,,1
109,,7311315517581135-a,,,,91,2,16,309,,1
110,,7311315194148687-a,,,,92,2,16,312,,1
111,,7311315194148687-cs,,,,92,1,16,2,,1
112,,7311315725820427-a,,,,93,2,16,312,,1
113,,7311315725820427-cs,,,,93,1,16,2,,1
114,,7311315626637139-a,,,,94,2,16,310,,1
115,,7311315284904601-a,,,,95,2,16,1453,,1
116,,7311315773197615-a,,,,96,2,16,1453,,1
117,,7311315773197615-cs,,,,96,1,16,4,,1
118,,731131541631471-a,,,,97,2,16,1453,,1
119,,7311315139384876-a,,,,98,2,16,1453,,1
120,,7311315603021091-a,,,,99,2,16,1453,,1
121,,7311315676342902-a,,,,100,2,16,310,,1
122,,7311315475596432-a,,,,101,2,16,314,,1
123,,7311315475596432-cs,,,,101,1,16,5,,1
124,,7311315417320372-a,,,,102,2,16,1453,,1
125,,7311315843107485-a,,,,103,2,16,309,,1
126,,7311315619583009-a,,,,104,2,16,1453,,1
127,,731131551813481-a,,,,105,2,16,1453,,1
128,,731131551813481-cs,,,,105,1,16,3,,1
129,,7311315139664261-a,,,,106,2,16,1453,,1
130,,7311315139664261-cs,,,,106,1,16,3,,1
131,,7311315764019158-a,,,,107,2,16,1453,,1
132,,7311315764019158-cs,,,,107,1,16,6,,1
133,,7311315100772104-a,,,,108,2,16,1453,,1
134,,7311315360030936-a,,,,109,2,16,312,,1
135,,7311315360030936-cs,,,,109,1,16,2,,1
136,,7311315576042559-a,,,,110,2,16,1453,,1
137,,7311315576042559-cs,,,,110,1,16,4,,1
138,,7311315620144146-a,,,,111,2,16,1453,,1
139,,7311315939300100-a,,,,112,2,16,1453,,1
140,,7311315733837343-a,,,,113,2,16,1453,,1
141,,7311315369489919-a,,,,114,2,16,313,,1
142,,7311315369489919-cs,,,,114,1,16,5,,1
143,,7311315742026773-a,,,,115,2,16,1453,,1
144,,7311315191375451-a,,,,116,2,16,1453,,1
145,,7311315238950309-a,,,,117,2,16,1453,,1
146,,7311315775978454-a,,,,118,2,16,1453,,1
147,,7311315676152070-a,,,,119,2,16,312,,1
148,,7311315676152070-cs,,,,119,1,16,2,,1
149,,7311315308125678-a,,,,120,2,16,1453,,1
150,,7311315482080769-a,,,,121,2,16,313,,1
151,,7311315482080769-cs,,,,121,1,16,5,,1
152,,7311315108755596-a,,,,122,2,16,310,,1
153,,7311315684710763-a,,,,123,2,16,1453,,1
154,,7311315684710763-cs,,,,123,1,16,4,,1
155,,731131567512699-a,,,,124,2,16,309,,1
156,,7311315729645207-a,,,,125,2,16,1453,,1
157,,7311315636358192-a,,,,126,2,16,1453,,1
158,,7311315884939750-a,,,,127,2,16,1453,,1
159,,7311315582085657-a,,,,128,2,16,1453,,1
160,,7311315860992668-a,,,,129,2,16,1453,,1
161,,7311315582460611-a,,,,130,2,16,311,,1
162,,7311315582460611-cs,,,,130,1,16,1,,1
163,,7311315495748575-a,,,,131,2,16,1453,,1
164,,731131533619808-a,,,,132,2,16,1453,,1
165,,731131551812118-a,,,,133,2,16,1453,,1
166,,7311315245440081-a,,,,134,2,16,309,,1
167,,7311315348340566-a,,,,135,2,16,1453,,1
168,,731131531006951-a,,,,136,2,16,1453,,1
169,,7311315664707931-a,,,,137,2,16,1453,,1
170,,7311315460676290-a,,,,138,2,16,1453,,1
171,,7311315166484629-a,,,,139,2,16,1453,,1
172,,7311315166484629-cs,,,,139,1,16,6,,1
173,,7311315210038328-a,,,,140,2,16,1453,,1
174,,7311315807440863-a,,,,141,2,16,312,,1
175,,7311315807440863-cs,,,,141,1,16,2,,1
176,,7311315611043-a,,,,142,2,16,309,,1
177,,7311315790108535-a,,,,143,2,16,1453,,1
178,,7311315580702557-a,,,,144,2,16,1453,,1
179,,7311315580702557-cs,,,,144,1,16,1,,1
180,,7311315288606652-a,,,,145,2,16,1453,,1
181,,7311315938148730-a,,,,146,2,16,310,,1
182,,731131573925883-a,,,,147,2,16,1453,,1
183,,7311315371496486-a,,,,148,2,16,1453,,1
184,,7311315534444646-a,,,,149,2,16,312,,1
185,,7311315534444646-cs,,,,149,1,16,2,,1
186,,731131560133404-a,,,,150,2,16,310,,1
187,,7311315894764371-a,,,,151,2,16,1453,,1
188,,7311315136618403-a,,,,152,2,16,310,,1
189,,7311315432897959-a,,,,153,2,16,1453,,1
190,,7311315873948899-a,,,,154,2,16,1453,,1
191,,7311315847627561-a,,,,155,2,16,1453,,1
192,,731131541090893-a,,,,156,2,16,310,,1
193,,7311315122481578-a,,,,157,2,16,1453,,1
194,,731131586184301-a,,,,158,2,16,1453,,1
195,,7311315168833848-a,,,,159,2,16,309,,1
196,,7311315539987226-a,,,,160,2,16,1453,,1
197,,7311315159463476-a,,,,161,2,16,1453,,1
198,,731131528893991-a,,,,162,2,16,1453,,1
199,,7311315767502657-a,,,,163,2,16,312,,1
200,,7311315767502657-cs,,,,163,1,16,2,,1
201,,7311315952999607-a,,,,164,2,16,1453,,1
202,,7311315633652784-a,,,,165,2,16,1453,,1
203,,7311315671680857-a,,,,166,2,16,310,,1
204,,7311315237153615-a,,,,167,2,16,1453,,1
205,,7311315121582386-a,,,,168,2,16,312,,1
206,,7311315121582386-cs,,,,168,1,16,2,,1
207,,7311315870200349-a,,,,169,2,16,1453,,1
208,,7311315863173940-a,,,,170,2,16,1453,,1
209,,7311315863173940-cs,,,,170,1,16,6,,1
210,,7311315470995438-a,,,,171,2,16,1453,,1
211,,7311315956903662-a,,,,172,2,16,312,,1
212,,7311315956903662-cs,,,,172,1,16,2,,1
213,,7311315726438450-a,,,,173,2,16,1453,,1
214,,7311315445862065-a,,,,174,2,16,1453,,1
215,,7311315517780338-a,,,,175,2,16,1453,,1
216,,7311315517780338-cs,,,,175,1,16,4,,1
217,,7311315214600793-a,,,,176,2,16,1453,,1
218,,7311315214600793-cs,,,,176,1,16,4,,1
219,,7311315943131806-a,,,,177,2,16,310,,1
220,,7311315424662965-a,,,,178,2,16,1453,,1
221,,7311315561243243-a,,,,179,2,16,1453,,1
222,,7311315561243243-cs,,,,179,1,16,6,,1
223,,7311315516915312-a,,,,180,2,16,1453,,1
224,,7311315516915312-cs,,,,180,1,16,4,,1
225,,7311315497471729-a,,,,181,2,16,1453,,1
226,,7311315308443723-a,,,,182,2,16,1453,,1
227,,7311315156999668-a,,,,183,2,16,309,,1
228,,7311315211521466-a,,,,184,2,16,1453,,1
229,,7311315662523681-a,,,,185,2,16,1453,,1
230,,7311315662523681-cs,,,,185,1,16,5,,1
231,,7311315694156068-a,,,,186,2,16,313,,1
232,,7311315694156068-cs,,,,186,1,16,5,,1
233,,7311315774129158-a,,,,187,2,16,1453,,1
234,,7311315384136676-a,,,,188,2,16,1453,,1
235,,7311315384136676-cs,,,,188,1,16,6,,1
236,,7311315848622991-a,,,,189,2,16,1453,,1
237,,7311315848622991-cs,,,,189,1,16,6,,1
238,,7311315597778547-a,,,,190,2,16,1453,,1
239,,7311315344284302-a,,,,191,2,16,1453,,1
240,,7311315386123809-a,,,,192,2,16,1453,,1
241,,7311315341316854-a,,,,193,2,16,1453,,1
242,,7311315884212510-a,,,,194,2,16,310,,1
243,,7311315621476930-a,,,,195,2,16,1453,,1
244,,7311315156539546-a,,,,196,2,16,1453,,1
245,,7311315545228463-a,,,,197,2,16,1453,,1
246,,7311315369049745-a,,,,198,2,16,310,,1
247,,7311315469571984-a,,,,199,2,16,309,,1
248,,7311315813956190-a,,,,200,2,16,310,,1
249,,7311315954879861-a,,,,201,2,16,1453,,1
250,,7311315234799778-a,,,,202,2,16,310,,1
251,,7311315478503253-a,,,,203,2,16,1453,,1
252,,7311315573791909-a,,,,204,2,16,1453,,1
253,,7311315832276502-a,,,,205,2,16,310,,1
254,,7311315337831847-a,,,,206,2,16,1453,,1
255,,731131578090482-a,,,,207,2,16,1453,,1
256,,7311315280633899-a,,,,208,2,16,1453,,1
257,,7311315801676276-a,,,,209,2,16,312,,1
258,,7311315801676276-cs,,,,209,1,16,2,,1
259,,731131556295675-a,,,,210,2,16,1453,,1
260,,7311315829174177-a,,,,211,2,16,1453,,1
261,,7311315675659970-a,,,,212,2,16,1453,,1
262,,7311315921679037-a,,,,213,2,16,1453,,1
263,,7311315776549508-a,,,,214,2,16,1453,,1
264,,7311315612921219-a,,,,215,2,16,1453,,1
265,,7311315823206038-a,,,,216,2,16,1453,,1
266,,7311315184073193-a,,,,217,2,16,1453,,1
267,,7311315940153759-a,,,,218,2,16,1453,,1
268,,7311315724006112-a,,,,219,2,16,311,,1
269,,7311315724006112-cs,,,,219,1,16,1,,1
270,,7311315741571987-a,,,,220,2,16,1453,,1
271,,7311315206867757-a,,,,221,2,16,1453,,1
272,,731131523272645-a,,,,222,2,16,1453,,1
273,,7311315133300945-a,,,,223,2,16,1453,,1
274,,7311315131915829-a,,,,224,2,16,1453,,1
275,,7311315131915829-cs,,,,224,1,16,1,,1
276,,7311315840680901-a,,,,225,2,16,1453,,1
277,,7311315840680901-cs,,,,225,1,16,3,,1
278,,731131586708013-a,,,,226,2,16,1453,,1
279,,7311315780357551-a,,,,227,2,16,1453,,1
280,,7311315780357551-cs,,,,227,1,16,1,,1
281,,7311315994430540-a,,,,228,2,16,1453,,1
282,,7311315994430540-cs,,,,228,1,16,1,,1
283,,7311315375323333-a,,,,229,2,16,1453,,1
284,,7311315439975243-a,,,,230,2,16,1453,,1
285,,7311315985558431-a,,,,231,2,16,1453,,1
286,,7311315213900225-a,,,,232,2,16,1453,,1
287,,7311315213900225-cs,,,,232,1,16,3,,1
288,,7311315827883075-a,,,,233,2,16,310,,1
289,,731131530729745-a,,,,234,2,16,1453,,1
290,,7311315491914219-a,,,,235,2,16,310,,1
291,,731131571946127-a,,,,236,2,16,1453,,1
292,,7311315861019324-a,,,,237,2,16,1453,,1
293,,7311315175900204-a,,,,238,2,16,1453,,1
294,,731131530130164-a,,,,239,2,16,1453,,1
295,,7311315315692843-a,,,,240,2,16,1453,,1
296,,7311315670526444-a,,,,241,2,16,1453,,1
297,,7311315111977102-a,,,,242,2,16,1453,,1
298,,7311315264169735-a,,,,243,2,16,1453,,1
299,,7311315307983264-a,,,,244,2,16,1453,,1
300,,7311315828296307-a,,,,245,2,16,309,,1
301,,7311315135583368-a,,,,246,2,16,1453,,1
302,,7311315342378263-a,,,,247,2,16,311,,1
303,,7311315342378263-cs,,,,247,1,16,1,,1
304,,7311315378877649-a,,,,248,2,16,311,,1
305,,7311315378877649-cs,,,,248,1,16,1,,1
306,,7311315220405207-a,,,,249,2,16,310,,1
307,,7311315775858385-a,,,,250,2,16,310,,1
308,,7311315766761059-a,,,,251,2,16,1453,,1
309,,7311315331502415-a,,,,252,2,16,1453,,1
310,,7311315331502415-cs,,,,252,1,16,6,,1
311,,7311315407373830-a,,,,253,2,16,1453,,1
312,,7311315236381179-a,,,,254,2,16,1453,,1
313,,7311315794862630-a,,,,255,2,16,1453,,1
314,,7311315610063678-a,,,,256,2,16,1453,,1
315,,7311315304289043-a,,,,257,2,16,310,,1
316,,731131516702823-a,,,,258,2,16,1453,,1
317,,7311315579668246-a,,,,259,2,16,1453,,1
318,,7311315648058693-a,,,,260,2,16,1453,,1
319,,7311315407425512-a,,,,261,2,16,309,,1
320,,864157645359852-a,,,,262,2,16,1453,,1
321,,731131560450609-a,,,,263,2,16,309,,1
322,,7311315591550731-a,,,,264,2,16,1453,,1
323,,7311315194817294-a,,,,265,2,16,1453,,1
324,,7311315345376083-a,,,,266,2,16,1453,,1
325,,7311315296865715-a,,,,267,2,16,1453,,1
326,,7311315682909844-a,,,,268,2,16,1453,,1
327,,7311315682909844-cs,,,,268,1,16,5,,1
328,,7311315256129623-a,,,,269,2,16,1453,,1
329,,7311315175669337-a,,,,270,2,16,311,,1
330,,7311315175669337-cs,,,,270,1,16,1,,1
331,,7311315783375890-a,,,,271,2,16,311,,1
332,,7311315783375890-cs,,,,271,1,16,1,,1
333,,7311315626014628-a,,,,272,2,16,1453,,1
334,,7311315430950227-a,,,,273,2,16,1453,,1
335,,7311315546984707-a,,,,274,2,16,1453,,1
336,,7311315546984707-cs,,,,274,1,16,4,,1
337,,7311315877192009-a,,,,275,2,16,1453,,1
338,,7311315971825682-a,,,,276,2,16,311,,1
339,,7311315971825682-cs,,,,276,1,16,1,,1
340,,7311315471210192-a,,,,277,2,16,311,,1
341,,7311315471210192-cs,,,,277,1,16,1,,1
342,,7311315644933445-a,,,,278,2,16,311,,1
343,,7311315644933445-cs,,,,278,1,16,1,,1
344,,7311315611048538-a,,,,279,2,16,1453,,1
345,,7311315215788047-a,,,,280,2,16,1453,,1
346,,7311315550453275-a,,,,281,2,16,1453,,1
347,,7311315346077505-a,,,,282,2,16,309,,1
348,,7311315601783938-a,,,,283,2,16,1453,,1
349,,7311315819996606-a,,,,284,2,16,1453,,1
350,,7311315878544502-a,,,,285,2,16,1453,,1
351,,7311315883538550-a,,,,286,2,16,1453,,1
352,,7311315403606455-a,,,,287,2,16,1453,,1
353,,7311315634020421-a,,,,288,2,16,1453,,1
354,,7311315457723551-a,,,,289,2,16,1453,,1
355,,7311315513175497-a,,,,290,2,16,1453,,1
356,,7311315262751347-a,,,,291,2,16,1453,,1
357,,7311315423066414-a,,,,292,2,16,1453,,1
358,,7311315618506816-a,,,,293,2,16,1453,,1
359,,7311315556371090-a,,,,294,2,16,1453,,1
360,,7311315371399601-a,,,,295,2,16,1453,,1
361,,7311315388267748-a,,,,296,2,16,1453,,1
362,,7311315649274716-a,,,,297,2,16,1453,,1
363,,7311315817541073-a,,,,298,2,16,1453,,1
364,,7311315578798327-a,,,,299,2,16,1453,,1
365,,7311315792093360-a,,,,300,2,16,1453,,1
366,,7311315358504102-a,,,,301,2,16,1453,,1
367,,7311315550734725-a,,,,302,2,16,1453,,1
368,,7311315380077234-a,,,,303,2,16,1453,,1
369,,7311315493892216-a,,,,304,2,16,1453,,1
370,,7311315389029409-a,,,,305,2,16,1453,,1
371,,7311315339755650-a,,,,306,2,16,1453,,1
372,,7311315708503562-a,,,,307,2,16,313,,1
373,,7311315708503562-cs,,,,307,1,16,5,,1
374,,7311315972040060-a,,,,308,2,16,310,,1
375,,7311315594543196-a,,,,309,2,16,312,,1
376,,7311315594543196-cs,,,,309,1,16,2,,1
377,,7311315961383061-a,,,,310,2,16,1453,,1
378,,7311315691078888-a,,,,311,2,16,1453,,1
379,,7311315661199117-a,,,,312,2,16,1453,,1
380,,7311315855756959-a,,,,313,2,16,312,,1
381,,7311315855756959-cs,,,,313,1,16,2,,1
382,,7311315542076983-a,,,,314,2,16,1453,,1
383,,7311315766708416-a,,,,315,2,16,313,,1
384,,7311315766708416-cs,,,,315,1,16,5,,1
385,,7311315541944536-a,,,,316,2,16,1453,,1
386,,731131528911317-a,,,,317,2,16,1453,,1
387,,7311315632206281-a,,,,318,2,16,1453,,1
388,,731131554965585-a,,,,319,2,16,1453,,1
389,,731131554965585-cs,,,,319,1,16,3,,1
390,,731131556625944-a,,,,320,2,16,1453,,1
391,,7311315770678842-a,,,,321,2,16,1453,,1
392,,7311315619059934-a,,,,322,2,16,1453,,1
393,,7311315216779496-a,,,,323,2,16,1453,,1
394,,7311315158471980-a,,,,324,2,16,1453,,1
395,,7311315158471980-cs,,,,324,1,16,3,,1
396,,731131571734519-a,,,,325,2,16,1453,,1
397,,7311315683973208-a,,,,326,2,16,1453,,1
398,,7311315217790343-a,,,,327,2,16,309,,1
399,,7311315749189555-a,,,,328,2,16,1453,,1
400,,7311315266163207-a,,,,329,2,16,1453,,1
401,,7311315721514111-a,,,,330,2,16,1453,,1
402,,7311315268779649-a,,,,331,2,16,1453,,1
403,,7311315463575500-a,,,,332,2,16,1453,,1
404,,7311315169881339-a,,,,333,2,16,1453,,1
405,,7311315306342196-a,,,,334,2,16,1453,,1
406,,7311315152426209-a,,,,335,2,16,1453,,1
407,,7311315375877438-a,,,,336,2,16,312,,1
408,,7311315375877438-cs,,,,336,1,16,2,,1
409,,7311315956128842-a,,,,337,2,16,1453,,1
410,,7311315410052781-a,,,,338,2,16,1453,,1
411,,7311315942020864-a,,,,339,2,16,310,,1
412,,7311315314783335-a,,,,340,2,16,1453,,1
413,,7311315596806711-a,,,,341,2,16,310,,1
414,,7311315348227836-a,,,,342,2,16,1453,,1
415,,7311315956123055-a,,,,343,2,16,1453,,1
416,,7311315675143999-a,,,,344,2,16,1453,,1
417,,7311315878775942-a,,,,345,2,16,1453,,1
418,,7311315720212929-a,,,,346,2,16,1453,,1
419,,7311315610701974-a,,,,347,2,16,1453,,1
420,,7311315184816160-a,,,,348,2,16,1453,,1
421,,7311315316621663-a,,,,349,2,16,1453,,1
422,,7311315720141383-a,,,,350,2,16,1453,,1
423,,731131531456230-a,,,,351,2,16,1453,,1
424,,7311315995056510-a,,,,352,2,16,1453,,1
425,,7311315832441198-a,,,,353,2,16,1453,,1
426,,731131525884004-a,,,,354,2,16,1453,,1
427,,731131525884004-cs,,,,354,1,16,3,,1
428,,7311315307134185-a,,,,355,2,16,1453,,1
429,,7311315141338550-a,,,,356,2,16,1453,,1
430,,7311315720941862-a,,,,357,2,16,1453,,1
431,,7311315178821597-a,,,,358,2,16,1453,,1
432,,7311315775702009-a,,,,359,2,16,1453,,1
433,,7311315357167691-a,,,,360,2,16,310,,1
434,,7311315862741407-a,,,,361,2,16,1453,,1
435,,7311315369866870-a,,,,362,2,16,1453,,1
436,,7311315724916881-a,,,,363,2,16,1453,,1
437,,7311315281566174-a,,,,364,2,16,1453,,1
438,,7311315867956979-a,,,,365,2,16,310,,1
439,,7311315298048917-a,,,,366,2,16,1453,,1
440,,731131594002817-a,,,,367,2,16,1453,,1
441,,7311315175209791-a,,,,368,2,16,1453,,1
442,,7311315195738378-a,,,,369,2,16,1453,,1
443,,7311315699380658-a,,,,370,2,16,1453,,1
444,,7311315158616615-a,,,,371,2,16,312,,1
445,,7311315158616615-cs,,,,371,1,16,2,,1
446,,7311315575714219-a,,,,372,2,16,1453,,1
447,,7311315575714219-cs,,,,372,1,16,1,,1
448,,7311315321730492-a,,,,373,2,16,312,,1
449,,7311315321730492-cs,,,,373,1,16,2,,1
450,,7311315902314705-a,,,,374,2,16,312,,1
451,,7311315902314705-cs,,,,374,1,16,2,,1
452,,7311315836518627-a,,,,375,2,16,312,,1
453,,7311315836518627-cs,,,,375,1,16,1,,1
454,,7311315278607644-a,,,,376,2,16,312,,1
455,,7311315278607644-cs,,,,376,1,16,2,,1
456,,7311315948142254-a,,,,377,2,16,312,,1
457,,7311315948142254-cs,,,,377,1,16,2,,1
458,,7311315862532447-a,,,,378,2,16,312,,1
459,,7311315862532447-cs,,,,378,1,16,2,,1
460,,731131528525578-a,,,,379,2,16,311,,1
461,,731131528525578-cs,,,,379,1,16,1,,1
462,,731131590623561-a,,,,380,2,16,1453,,1
463,,7311315139824964-a,,,,381,2,16,1453,,1
464,,7311315964362965-a,,,,382,2,16,1453,,1
465,,7311315639859184-a,,,,383,2,16,1453,,1
466,,7311315384786129-a,,,,384,2,16,1453,,1
467,,7311315310779974-a,,,,385,2,16,1453,,1
468,,7311315408420896-a,,,,386,2,16,1453,,1
469,,7311315881872561-a,,,,387,2,16,1453,,1
470,,731131569466516-a,,,,388,2,16,1453,,1
471,,7311315311001932-a,,,,389,2,16,309,,1
472,,7311315858212490-a,,,,390,2,16,311,,1
473,,7311315858212490-cs,,,,390,1,16,1,,1
474,,7311315685270747-a,,,,391,2,16,310,,1
475,,7311315447271633-a,,,,392,2,16,1453,,1
476,,7311315582139947-a,,,,393,2,16,1453,,1
477,,7311315154715783-a,,,,394,2,16,314,,1
478,,7311315488500735-a,,,,395,2,16,1453,,1
479,,73113159300841-a,,,,396,2,16,1453,,1
480,,73113159300841-cs,,,,396,1,16,5,,1
481,,7311315635482198-a,,,,397,2,16,310,,1
482,,7311315582635381-a,,,,398,2,16,310,,1
483,,7311315888812730-a,,,,399,2,16,1453,,1
484,,7311315326022293-a,,,,400,2,16,1453,,1
485,,7311315336017375-a,,,,401,2,16,1453,,1
486,,7311315540262182-a,,,,402,2,16,1453,,1
487,,7311315590472838-a,,,,403,2,16,1453,,1
488,,7311315488575801-a,,,,404,2,16,1453,,1
489,,7311315141175223-a,,,,405,2,16,310,,1
490,,73113157998059-a,,,,406,2,16,310,,1
491,,7311315749792291-a,,,,407,2,16,1453,,1
492,,7311315104205151-a,,,,408,2,16,313,,1
493,,7311315104205151-cs,,,,408,1,16,5,,1
494,,7311315916959920-a,,,,409,2,16,1453,,1
495,,7311315531237504-a,,,,410,2,16,1453,,1
496,,7311315634796067-a,,,,411,2,16,1453,,1
497,,7311315319548193-a,,,,412,2,16,1453,,1
498,,7311315251041125-a,,,,413,2,16,1453,,1
499,,7311315485038510-a,,,,414,2,16,1453,,1
500,,7311315975841360-a,,,,415,2,16,1453,,1
501,,7311315975841360-cs,,,,415,1,16,4,,1
502,,7311315903950006-a,,,,416,2,16,310,,1
503,,7311315505083591-a,,,,417,2,16,312,,1
504,,7311315505083591-cs,,,,417,1,16,2,,1
505,,731131552862452-a,,,,418,2,16,1453,,1
506,,7311315693992104-a,,,,419,2,16,1453,,1
507,,7311315693992104-cs,,,,419,1,16,4,,1
508,,7311315914413688-a,,,,420,2,16,1453,,1
509,,7311315736536852-a,,,,421,2,16,1453,,1
510,,7311315717129433-a,,,,422,2,16,1453,,1
511,,7311315487824211-a,,,,423,2,16,312,,1
512,,7311315487824211-cs,,,,423,1,16,2,,1
513,,7311315290576909-a,,,,424,2,16,1453,,1
514,,731131525231145-a,,,,425,2,16,1453,,1
515,,7311315890964117-a,,,,426,2,16,1453,,1
516,,7311315801310464-a,,,,427,2,16,1453,,1
517,,7311315698095071-a,,,,428,2,16,1453,,1
518,,7311315298966806-a,,,,429,2,16,1453,,1
519,,7311315653203575-a,,,,430,2,16,1453,,1
520,,7311315965817520-a,,,,431,2,16,312,,1
