pk,jsondata,meaning_pk,name,lang
5745,,1437,"belle-fils, gendre / belle-fille, bru",french
5746,,1437,,spanish
5747,,1437,Schwiegersohn oder Schwiegertochter,german
5748,,1437,,russian
5749,,1438,beau-frère / belle-sœur,french
5750,,1438,,spanish
5751,,1438,Schwager oder Schwägerin,german
5752,,1438,,russian
5753,,1439,il,french
5754,,1439,,spanish
5755,,1439,er,german
5756,,1439,,russian
5757,,1440,elle,french
5758,,1440,,spanish
5759,,1440,sie,german
5760,,1440,,russian
5761,,1441,,french
5762,,1441,,spanish
5763,,1441,es,german
5764,,1441,,russian
5765,,1442,vie,french
5766,,1442,vida,spanish
5767,,1442,Leben,german
5768,,1442,жизнь,russian
5769,,1443,carcasse,french
5770,,1443,,spanish
5771,,1443,Kadaver,german
5772,,1443,,russian
5773,,1444,maladie,french
5774,,1444,,spanish
5775,,1444,Krankheit,german
5776,,1444,,russian
5777,,1445,cadenas,french
5778,,1445,,spanish
5779,,1445,Vorhängeschloss,german
5780,,1445,,russian
5781,,1446,rizière,french
5782,,1446,,spanish
5783,,1446,Reisfeld,german
5784,,1446,,russian
5785,,1447,endommager,french
5786,,1447,,spanish
5787,,1447,beschädigen,german
5788,,1447,,russian
5789,,1448,au dessus,french
5790,,1448,,spanish
5791,,1448,über,german
5792,,1448,над,russian
5793,,1449,"morceau, pièce",french
5794,,1449,,spanish
5795,,1449,Stück,german
5796,,1449,"часть, кусок",russian
5797,,1450,seul,french
5798,,1450,,spanish
5799,,1450,allein,german
5800,,1450,,russian
5801,,1451,commencement,french
5802,,1451,,spanish
5803,,1451,"Anfang, Beginn",german
5804,,1451,,russian
5805,,1452,jour,french
5806,,1452,,spanish
5807,,1452,Tag,german
5808,,1452,,russian
5809,,1453,église,french
5810,,1453,iglesia,spanish
5811,,1453,Kirche,german
5812,,1453,церковь,russian
5813,,1454,mosquée,french
5814,,1454,mezquita,spanish
5815,,1454,Moschee,german
5816,,1454,,russian
5817,,1455,rien,french
5818,,1455,,spanish
5819,,1455,nichts,german
5820,,1455,,russian
5821,,1456,mort(e),french
5822,,1456,,spanish
5823,,1456,tot,german
5824,,1456,мертвый,russian
5825,,1457,gratter,french
5826,,1457,,spanish
5827,,1457,kratzen,german
5828,,1457,,russian
5829,,1458,faire,french
5830,,1458,hacer,spanish
5831,,1458,tun,german
5832,,1458,делать,russian
5833,,1459,ventre,french
5834,,1459,barriga,spanish
5835,,1459,Bauch,german
5836,,1459,,russian
5837,,1460,essuyer,french
5838,,1460,,spanish
5839,,1460,(ab)wischen,german
5840,,1460,стереть,russian
5841,,1461,geler,french
5842,,1461,helar,spanish
5843,,1461,gefrieren,german
5844,,1461,,russian
5845,,1462,avec,french
5846,,1462,,spanish
