pk,vocabulary_pk,fm_dl_id,wals_equivalent,affiliation,family,genus,countries
159,,873046567114050,http://wals.info/languoid/lect/wals_code_igb,"Niger-Congo, Igboid",Niger-Congo,Igboid,
160,,873054618839891,,Indo-European,http://wals.info/languoid/family/indoeuropean,,
161,,92122118784987605,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
162,,873046705605770,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
163,,8771729996400219,,"Afro-Asiatic, Semitic",http://wals.info/languoid/family/afroasiatic,http://wals.info/languoid/genus/semitic,
164,,873046281791177,http://wals.info/languoid/family/indoeuropean,,,,
165,,873046534946406,,Indo-European,http://wals.info/languoid/family/indoeuropean,,
166,,873046120581154,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
167,,873046339261748,http://wals.info/languoid/genus/iranian,Indo-European,http://wals.info/languoid/family/indoeuropean,,
168,,873054138468261,,Indo-European,http://wals.info/languoid/family/indoeuropean,,
169,,873046776116720,http://wals.info/languoid/lect/wals_code_ita,"Indo-European, Romance",Indo-European,Romance,
170,,873054507286456,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
171,,873046643820620,http://wals.info/languoid/lect/wals_code_itz,"Mayan, Mayan",Mayan,Mayan,
172,,873046243477464,http://wals.info/languoid/lect/wals_code_jah,"Austro-Asiatic, Aslian",http://wals.info/languoid/family/austroasiatic,http://wals.info/languoid/genus/aslian,
173,,873046237837831,http://wals.info/languoid/lect/wals_code_jam,"Australian, Jaminjungan",Australian,Jaminjungan,
174,,873046137435318,http://wals.info/languoid/lect/wals_code_djr,"Australian, Pama-Nyungan",http://wals.info/languoid/family/australian,http://wals.info/languoid/genus/pamanyungan,
175,,873046341214209,http://wals.info/languoid/lect/wals_code_jav,"Austronesian, Javanese",Austronesian,Javanese,
176,,873054845917986,http://wals.info/languoid/lect/wals_code_dji,West Barkly,http://wals.info/languoid/family/australian,http://wals.info/languoid/genus/westbarkly,
177,,8730462835434,,"Mayan, Mayan",http://wals.info/languoid/family/mayan,http://wals.info/languoid/genus/mayan,
178,,873046952210259,http://wals.info/languoid/lect/wals_code_kmk,"Altaic, Mongolic",Altaic,Mongolic,
179,,8116736875844292,,Tai-Kadai,http://wals.info/languoid/family/taikadai,,
180,,873054157728727,http://wals.info/languoid/lect/wals_code_knd,"Dravidian, Southern Dravidian",Dravidian,Southern Dravidian,
181,,873046956097541,http://wals.info/languoid/lect/wals_code_krl,"Uralic, Finnic",Uralic,Finnic,
182,,873046451848366,http://wals.info/languoid/lect/wals_code_mdb,"Australian, Pama-Nyungan",http://wals.info/languoid/family/australian,http://wals.info/languoid/genus/pamanyungan,
183,,873054326966014,http://wals.info/languoid/lect/wals_code_kaq,"Australian, Pama-Nyungan",Australian,Pama-Nyungan,
184,,873046343052652,http://wals.info/languoid/lect/wals_code_kha,"Altaic, Mongolic",Altaic,Mongolic,
185,,873046366716360,http://wals.info/languoid/lect/wals_code_kij,Djeragan,http://wals.info/languoid/family/australian,http://wals.info/languoid/genus/djeragan,
186,,873046650441692,,"Uralic, Finnic",http://wals.info/languoid/family/uralic,http://wals.info/languoid/genus/finnic,
187,,873046700966182,http://wals.info/languoid/lect/wals_code_kon,"Niger-Congo, Bantoid",Niger-Congo,Bantoid,
188,,873046729707482,,"Afro-Asiatic, Eastern Cushitic",http://wals.info/languoid/family/afroasiatic,http://wals.info/languoid/genus/easterncushitic,
189,,873046848256910,http://wals.info/languoid/lect/wals_code_kor,"Korean, Korean",Korean,Korean,
190,,92142231461191679,http://wals.info/languoid/lect/wals_code_kfc,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
191,,873046441040712,http://wals.info/languoid/lect/wals_code_krd,Indo-European,http://wals.info/languoid/family/indoeuropean,,
192,,873046957352946,http://wals.info/languoid/lect/wals_code_lak,"Nakh-Daghestanian, Lak-Dargwa",Nakh-Daghestanian,Lak-Dargwa,
193,,873046474779681,http://wals.info/languoid/lect/wals_code_lao,"Tai-Kadai, Kam-Tai",Tai-Kadai,Kam-Tai,
194,,873046293964031,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
195,,873054324306842,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
196,,873046314261813,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
197,,873054582209821,,Tupian,http://wals.info/languoid/family/tupian,,
198,,873046845083671,,Bantoid,http://wals.info/languoid/family/nigercongo,http://wals.info/languoid/genus/bantoid,
199,,873054610890632,http://wals.info/languoid/genus/burmeselolo,Sino-Tibetan,http://wals.info/languoid/family/sinotibetan,,
200,,873046930362807,http://wals.info/languoid/lect/wals_code_amr,"Afro-Asiatic, Semitic",http://wals.info/languoid/family/afroasiatic,http://wals.info/languoid/genus/semitic,
201,,873046453384262,http://wals.info/languoid/lect/wals_code_mua,"Niger-Congo, Bantoid",Niger-Congo,Bantoid,
202,,873046243014335,http://wals.info/languoid/lect/wals_code_mly,"Austronesian, Malayic",Austronesian,Malayic,
203,,92122118627044120,http://wals.info/languoid/lect/wals_code_mym,"Dravidian, Southern Dravidian",Dravidian,Southern Dravidian,
204,,873046715610818,http://wals.info/languoid/lect/wals_code_mlg,"Afro-Asiatic, Biu-Mandara",Afro-Asiatic,Biu-Mandara,
205,,873046242315387,,Niger-Congo,http://wals.info/languoid/family/nigercongo,,
206,,92122117461191679,http://wals.info/languoid/lect/wals_code_mdk,"Niger-Congo, Western Mande",Niger-Congo,Western Mande,
207,,873046851426818,http://wals.info/languoid/lect/wals_code_mao,"Austronesian (Eastern Malayo-Polynesian), Oceanic",http://wals.info/languoid/family/austronesian,http://wals.info/languoid/genus/oceanic,
208,,873046260671806,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
209,,873046211306238,http://wals.info/languoid/lect/wals_code_mde,"Niger-Congo, Western Mande",Niger-Congo,Western Mande,
210,,873046674233424,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
211,,873046846675707,,Sino-Tibetan,http://wals.info/languoid/family/sinotibetan,,
212,,873046130371437,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
213,,873046287292564,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
215,,810252249724779681,,Austro-Asiatic,http://wals.info/languoid/family/austroasiatic,,
216,,873046619134147,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
