pk,jsondata,name,description,markup_description,id,type,lang,version
341,,jav,,,wals-jav,wals,en,1
342,,jav,,,iso639-3-jav,iso639-3,en,1
343,,java1254,,,java1254,glottolog,en,1
344,,dji,,,wals-dji,wals,en,1
345,,jig,,,iso639-3-jig,iso639-3,en,1
346,,djin1251,,,djin1251,glottolog,en,1
347,,kmk,,,wals-kmk,wals,en,1
348,,xal,,,iso639-3-xal,iso639-3,en,1
349,,kalm1243,,,kalm1243,glottolog,en,1
350,,knd,,,wals-knd,wals,en,1
351,,kan,,,iso639-3-kan,iso639-3,en,1
352,,nucl1305,,,nucl1305,glottolog,en,1
353,,krl,,,wals-krl,wals,en,1
354,,krl,,,iso639-3-krl,iso639-3,en,1
355,,kare1335,,,kare1335,glottolog,en,1
356,,mdb,,,wals-mdb,wals,en,1
357,,mwd,,,iso639-3-mwd,iso639-3,en,1
358,,mudb1240,,,mudb1240,glottolog,en,1
359,,kaq,,,wals-kaq,wals,en,1
360,,kha,,,wals-kha,wals,en,1
361,,khk,,,iso639-3-khk,iso639-3,en,1
362,,halh1238,,,halh1238,glottolog,en,1
363,,kij,,,wals-kij,wals,en,1
364,,gia,,,iso639-3-gia,iso639-3,en,1
365,,kitj1240,,,kitj1240,glottolog,en,1
366,,kom,,,iso639-3-kom,iso639-3,en,1
367,,kon,,,wals-kon,wals,en,1
368,,kng,,,iso639-3-kng,iso639-3,en,1
369,,koon1244,,,koon1244,glottolog,en,1
370,,kxc,,,iso639-3-kxc,iso639-3,en,1
371,,kons1243,,,kons1243,glottolog,en,1
372,,kor,,,wals-kor,wals,en,1
373,,kor,,,iso639-3-kor,iso639-3,en,1
374,,kore1280,,,kore1280,glottolog,en,1
375,,kfc,,,wals-kfc,wals,en,1
376,,rop,,,iso639-3-rop,iso639-3,en,1
377,,krio1252,,,krio1252,glottolog,en,1
378,,krd,,,wals-krd,wals,en,1
379,,kur,,,iso639-3-kur,iso639-3,en,1
380,,lak,,,wals-lak,wals,en,1
381,,lbe,,,iso639-3-lbe,iso639-3,en,1
382,,lakk1252,,,lakk1252,glottolog,en,1
383,,lao,,,wals-lao,wals,en,1
384,,lao,,,iso639-3-lao,iso639-3,en,1
385,,laoo1244,,,laoo1244,glottolog,en,1
386,,yrl,,,iso639-3-yrl,iso639-3,en,1
387,,nhen1239,,,nhen1239,glottolog,en,1
388,,mua,,,wals-mua,wals,en,1
389,,vmw,,,iso639-3-vmw,iso639-3,en,1
390,,makh1264,,,makh1264,glottolog,en,1
391,,mly,,,wals-mly,wals,en,1
392,,zsm,,,iso639-3-zsm,iso639-3,en,1
393,,stan1306,,,stan1306,glottolog,en,1
394,,mym,,,wals-mym,wals,en,1
395,,mal,,,iso639-3-mal,iso639-3,en,1
396,,mala1464,,,mala1464,glottolog,en,1
397,,mlg,,,wals-mlg,wals,en,1
398,,mfi,,,iso639-3-mfi,iso639-3,en,1
399,,wand1278,,,wand1278,glottolog,en,1
400,,mdk,,,wals-mdk,wals,en,1
