borrowed_score,age_score,simplicity_score,pk,borrowed,analyzability
0,0.5,0.75,43,5. no evidence for borrowing,semi-analyzable
0,0.5,0.5,44,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,45,5. no evidence for borrowing,unanalyzable
0,0.5,1,46,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,47,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,48,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,49,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,50,5. no evidence for borrowing,semi-analyzable
0,0.5,0.75,51,5. no evidence for borrowing,semi-analyzable
1,0.5,1,52,1. clearly borrowed,unanalyzable
0,0.5,1,53,5. no evidence for borrowing,unanalyzable
0,1,1,54,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,55,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,56,5. no evidence for borrowing,unanalyzable
0,0.5,1,57,5. no evidence for borrowing,unanalyzable
0,0.5,1,58,5. no evidence for borrowing,unanalyzable
0,0.5,1,59,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,60,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,61,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,62,5. no evidence for borrowing,unanalyzable
0,0.5,1,63,5. no evidence for borrowing,unanalyzable
1,0.7,1,64,1. clearly borrowed,unanalyzable
0,0.5,1,65,5. no evidence for borrowing,unanalyzable
1,0.8,1,66,1. clearly borrowed,unanalyzable
1,0.8,1,67,1. clearly borrowed,unanalyzable
1,0.6,1,68,1. clearly borrowed,unanalyzable
0,0.5,0.75,69,5. no evidence for borrowing,semi-analyzable
0,0.5,0.75,70,5. no evidence for borrowing,semi-analyzable
1,0.5,1,71,1. clearly borrowed,unanalyzable
0,0.5,1,72,5. no evidence for borrowing,unanalyzable
1,1,0.5,73,1. clearly borrowed,analyzable derived
0,0.5,1,74,5. no evidence for borrowing,unanalyzable
0,0.5,1,75,5. no evidence for borrowing,unanalyzable
0.5,0.5,1,76,3. perhaps borrowed,unanalyzable
0,0.5,0.5,77,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,78,5. no evidence for borrowing,analyzable derived
0,0.5,1,79,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,80,5. no evidence for borrowing,analyzable phrasal
,,,58062,,
,,,58063,,
0,0.5,1,81,5. no evidence for borrowing,unanalyzable
0,1,1,82,5. no evidence for borrowing,unanalyzable
0,1,0.5,83,5. no evidence for borrowing,analyzable derived
0,1,1,84,5. no evidence for borrowing,unanalyzable
0,1,1,85,5. no evidence for borrowing,unanalyzable
1,0.8,0.5,86,1. clearly borrowed,analyzable derived
1,0.6,1,87,1. clearly borrowed,unanalyzable
1,0.6,1,88,1. clearly borrowed,unanalyzable
0.75,0.5,0.75,89,2. probably borrowed,semi-analyzable
0,0.5,1,90,5. no evidence for borrowing,unanalyzable
0,1,1,91,5. no evidence for borrowing,unanalyzable
1,0.8,0.5,92,1. clearly borrowed,analyzable phrasal
1,0.8,0.5,93,1. clearly borrowed,analyzable phrasal
0,1,1,94,5. no evidence for borrowing,unanalyzable
0.75,0.5,0.75,95,2. probably borrowed,semi-analyzable
1,0.5,1,96,1. clearly borrowed,unanalyzable
0.75,0.5,1,97,2. probably borrowed,unanalyzable
0,0.5,1,98,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,99,5. no evidence for borrowing,semi-analyzable
0,1,1,100,5. no evidence for borrowing,unanalyzable
1,0.6,1,101,1. clearly borrowed,unanalyzable
1,0.5,1,102,1. clearly borrowed,unanalyzable
0,1,1,103,5. no evidence for borrowing,unanalyzable
0,0.5,1,104,5. no evidence for borrowing,unanalyzable
1,0.5,0.5,105,1. clearly borrowed,analyzable phrasal
1,0.5,1,106,1. clearly borrowed,unanalyzable
0.75,0.5,1,107,2. probably borrowed,unanalyzable
0.5,0.5,0.5,108,3. perhaps borrowed,analyzable derived
1,0.8,0.5,109,1. clearly borrowed,analyzable derived
1,0.5,1,110,1. clearly borrowed,unanalyzable
0,0.5,1,111,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,112,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,113,5. no evidence for borrowing,analyzable derived
1,0.7,1,114,1. clearly borrowed,unanalyzable
0,0.5,1,115,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,116,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,117,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,118,5. no evidence for borrowing,unanalyzable
1,0.8,1,119,1. clearly borrowed,unanalyzable
0,0.5,1,120,5. no evidence for borrowing,unanalyzable
1,0.7,1,121,1. clearly borrowed,unanalyzable
0,1,1,122,5. no evidence for borrowing,unanalyzable
1,0.5,1,123,1. clearly borrowed,unanalyzable
0,1,1,124,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,125,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,126,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,127,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,128,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,129,5. no evidence for borrowing,analyzable compound
1,1,0.5,130,1. clearly borrowed,analyzable phrasal
0,0.5,1,131,5. no evidence for borrowing,unanalyzable
0,0.5,1,132,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,133,5. no evidence for borrowing,analyzable phrasal
0,1,1,134,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,135,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,136,5. no evidence for borrowing,analyzable compound
0,0.5,1,137,5. no evidence for borrowing,unanalyzable
0,0.5,1,138,5. no evidence for borrowing,unanalyzable
1,0.5,1,139,1. clearly borrowed,unanalyzable
0,0.5,0.75,140,5. no evidence for borrowing,semi-analyzable
1,0.8,1,141,1. clearly borrowed,unanalyzable
0,1,1,142,5. no evidence for borrowing,unanalyzable
0.75,0.5,1,143,2. probably borrowed,unanalyzable
1,0.5,1,144,1. clearly borrowed,unanalyzable
0,0.5,0.5,145,5. no evidence for borrowing,analyzable derived
0,1,1,146,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,147,5. no evidence for borrowing,semi-analyzable
0.5,0.5,0.5,148,3. perhaps borrowed,analyzable derived
1,0.8,0.5,149,1. clearly borrowed,analyzable phrasal
0,1,1,150,5. no evidence for borrowing,unanalyzable
0,0.5,1,151,5. no evidence for borrowing,unanalyzable
0,1,1,152,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,153,5. no evidence for borrowing,semi-analyzable
0,0.5,0.5,154,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,155,5. no evidence for borrowing,analyzable derived
0,1,1,156,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,157,5. no evidence for borrowing,semi-analyzable
0.5,0.5,1,158,3. perhaps borrowed,unanalyzable
0,1,1,159,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,160,5. no evidence for borrowing,semi-analyzable
0,0.5,0.75,161,5. no evidence for borrowing,semi-analyzable
0.5,0.5,0.75,162,3. perhaps borrowed,semi-analyzable
1,0.8,1,163,1. clearly borrowed,unanalyzable
0,0.5,0.5,164,5. no evidence for borrowing,analyzable compound
0.5,0.5,1,165,3. perhaps borrowed,unanalyzable
0,1,1,166,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,167,5. no evidence for borrowing,analyzable phrasal
1,0.8,0.5,168,1. clearly borrowed,analyzable derived
0,0.5,1,169,5. no evidence for borrowing,unanalyzable
1,0.5,1,170,1. clearly borrowed,unanalyzable
0,0.5,1,171,5. no evidence for borrowing,unanalyzable
1,0.8,1,172,1. clearly borrowed,unanalyzable
0,0.5,1,173,5. no evidence for borrowing,unanalyzable
0,0.5,1,174,5. no evidence for borrowing,unanalyzable
1,0.5,1,175,1. clearly borrowed,unanalyzable
1,0.5,1,176,1. clearly borrowed,unanalyzable
0,1,1,177,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,178,5. no evidence for borrowing,semi-analyzable
1,0.5,1,179,1. clearly borrowed,unanalyzable
1,0.5,1,180,1. clearly borrowed,unanalyzable
0,0.5,1,181,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,182,5. no evidence for borrowing,analyzable phrasal
0,1,1,183,5. no evidence for borrowing,unanalyzable
0,0.5,1,184,5. no evidence for borrowing,unanalyzable
1,0.5,1,185,1. clearly borrowed,unanalyzable
1,0.7,1,186,1. clearly borrowed,unanalyzable
0.5,0.5,1,187,3. perhaps borrowed,unanalyzable
1,0.5,1,188,1. clearly borrowed,unanalyzable
1,0.5,1,189,1. clearly borrowed,unanalyzable
0,0.5,1,190,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,191,5. no evidence for borrowing,semi-analyzable
0,0.5,1,192,5. no evidence for borrowing,unanalyzable
0,0.5,1,193,5. no evidence for borrowing,unanalyzable
0,1,1,194,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,195,5. no evidence for borrowing,analyzable derived
0.75,0.5,1,196,2. probably borrowed,unanalyzable
0.75,0.5,1,197,2. probably borrowed,unanalyzable
0,1,1,198,5. no evidence for borrowing,unanalyzable
0,1,1,199,5. no evidence for borrowing,unanalyzable
0,1,1,200,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,201,5. no evidence for borrowing,analyzable phrasal
0,1,1,202,5. no evidence for borrowing,unanalyzable
0,0.5,1,203,5. no evidence for borrowing,unanalyzable
0,0.5,1,204,5. no evidence for borrowing,unanalyzable
0,1,1,205,5. no evidence for borrowing,unanalyzable
0,0.5,1,206,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,207,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,208,5. no evidence for borrowing,unanalyzable
1,0.8,0.75,209,1. clearly borrowed,semi-analyzable
0,0.5,1,210,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,211,5. no evidence for borrowing,analyzable derived
0.75,0.5,1,212,2. probably borrowed,unanalyzable
0,0.5,1,213,5. no evidence for borrowing,unanalyzable
0,0.5,1,214,5. no evidence for borrowing,unanalyzable
0,0.5,1,215,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,216,5. no evidence for borrowing,semi-analyzable
0,0.5,1,217,5. no evidence for borrowing,unanalyzable
0,0.5,1,218,5. no evidence for borrowing,unanalyzable
1,1,0.5,219,1. clearly borrowed,analyzable derived
0.25,0.5,1,220,4. very little evidence for borrowing,unanalyzable
0,0.5,1,221,5. no evidence for borrowing,unanalyzable
0,0.5,1,222,5. no evidence for borrowing,unanalyzable
0,0.5,1,223,5. no evidence for borrowing,unanalyzable
1,0.5,1,224,1. clearly borrowed,unanalyzable
0.75,0.5,1,225,2. probably borrowed,unanalyzable
0.75,0.5,1,226,2. probably borrowed,unanalyzable
1,0.5,0.5,227,1. clearly borrowed,analyzable phrasal
1,0.5,0.5,228,1. clearly borrowed,analyzable phrasal
0.25,0.5,1,229,4. very little evidence for borrowing,unanalyzable
0.5,0.5,1,230,3. perhaps borrowed,unanalyzable
0,0.5,1,231,5. no evidence for borrowing,unanalyzable
1,0.5,1,232,1. clearly borrowed,unanalyzable
0,1,1,233,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,234,5. no evidence for borrowing,analyzable phrasal
0,1,1,235,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,236,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,237,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,238,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,239,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,240,5. no evidence for borrowing,unanalyzable
0,0.5,1,241,5. no evidence for borrowing,unanalyzable
0.5,0.5,1,242,3. perhaps borrowed,unanalyzable
0.5,0.5,1,243,3. perhaps borrowed,unanalyzable
0,0.5,1,244,5. no evidence for borrowing,unanalyzable
0,1,1,245,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,246,5. no evidence for borrowing,analyzable phrasal
1,1,1,247,1. clearly borrowed,unanalyzable
1,1,0.75,248,1. clearly borrowed,semi-analyzable
0,1,1,249,5. no evidence for borrowing,unanalyzable
0,1,1,250,5. no evidence for borrowing,unanalyzable
0,0.5,1,251,5. no evidence for borrowing,unanalyzable
1,0.5,1,252,1. clearly borrowed,unanalyzable
0,0.5,1,253,5. no evidence for borrowing,unanalyzable
0.5,0.5,0.5,254,3. perhaps borrowed,analyzable derived
0,0.5,0.5,255,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,256,5. no evidence for borrowing,analyzable phrasal
0,1,1,257,5. no evidence for borrowing,unanalyzable
0.75,0.5,0.5,258,2. probably borrowed,analyzable phrasal
0,0.5,1,259,5. no evidence for borrowing,unanalyzable
0.5,0.5,1,260,3. perhaps borrowed,unanalyzable
0,1,0.75,261,5. no evidence for borrowing,semi-analyzable
0,0.5,0.5,262,5. no evidence for borrowing,analyzable phrasal
0,1,1,263,5. no evidence for borrowing,unanalyzable
0,0.5,1,264,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,265,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,266,5. no evidence for borrowing,unanalyzable
0,0.5,1,267,5. no evidence for borrowing,unanalyzable
1,0.5,1,268,1. clearly borrowed,unanalyzable
0.75,0.5,1,269,2. probably borrowed,unanalyzable
1,1,1,270,1. clearly borrowed,unanalyzable
1,1,1,271,1. clearly borrowed,unanalyzable
0,0.5,0.5,272,5. no evidence for borrowing,analyzable phrasal
0.75,0.5,1,273,2. probably borrowed,unanalyzable
1,0.5,1,274,1. clearly borrowed,unanalyzable
0.5,0.5,0.75,275,3. perhaps borrowed,semi-analyzable
1,1,1,276,1. clearly borrowed,unanalyzable
1,1,1,277,1. clearly borrowed,unanalyzable
1,1,0.5,278,1. clearly borrowed,analyzable phrasal
0,0.5,1,279,5. no evidence for borrowing,unanalyzable
0,0.5,1,280,5. no evidence for borrowing,unanalyzable
0,0.5,1,281,5. no evidence for borrowing,unanalyzable
0,1,1,282,5. no evidence for borrowing,unanalyzable
0,0.5,1,283,5. no evidence for borrowing,unanalyzable
0,0.5,1,284,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,285,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,286,5. no evidence for borrowing,unanalyzable
0,0.5,1,287,5. no evidence for borrowing,unanalyzable
0,0.5,1,288,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,289,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,290,5. no evidence for borrowing,unanalyzable
0,0.5,1,291,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,292,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,293,5. no evidence for borrowing,unanalyzable
0.5,0.5,1,294,3. perhaps borrowed,unanalyzable
0,0.5,0.5,295,5. no evidence for borrowing,analyzable derived
0,0.5,1,296,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,297,5. no evidence for borrowing,analyzable derived
0,0.5,0.75,298,5. no evidence for borrowing,semi-analyzable
0,0.5,1,299,5. no evidence for borrowing,unanalyzable
0,0.5,1,300,5. no evidence for borrowing,unanalyzable
0.5,0.5,1,301,3. perhaps borrowed,unanalyzable
0.5,0.5,1,302,3. perhaps borrowed,unanalyzable
0,0.5,1,303,5. no evidence for borrowing,unanalyzable
0.75,0.5,1,304,2. probably borrowed,unanalyzable
1,0.5,1,305,1. clearly borrowed,unanalyzable
0,0.5,1,306,5. no evidence for borrowing,unanalyzable
1,0.7,1,307,1. clearly borrowed,unanalyzable
0,1,1,308,5. no evidence for borrowing,unanalyzable
1,0.8,1,309,1. clearly borrowed,unanalyzable
0.5,0.5,1,310,3. perhaps borrowed,unanalyzable
0,0.5,0.5,311,5. no evidence for borrowing,analyzable phrasal
0.75,0.5,1,312,2. probably borrowed,unanalyzable
1,0.8,1,313,1. clearly borrowed,unanalyzable
0.5,0.5,1,314,3. perhaps borrowed,unanalyzable
1,0.7,1,315,1. clearly borrowed,unanalyzable
0.25,0.5,1,316,4. very little evidence for borrowing,unanalyzable
0,0.5,0.75,317,5. no evidence for borrowing,semi-analyzable
0,0.5,0.5,318,5. no evidence for borrowing,analyzable derived
1,0.5,0.5,319,1. clearly borrowed,analyzable derived
0.5,0.5,0.5,320,3. perhaps borrowed,analyzable derived
0.5,0.5,1,321,3. perhaps borrowed,unanalyzable
0.5,0.5,1,322,3. perhaps borrowed,unanalyzable
0,0.5,0.75,323,5. no evidence for borrowing,semi-analyzable
1,0.5,1,324,1. clearly borrowed,unanalyzable
0.75,0.5,1,325,2. probably borrowed,unanalyzable
,,,58064,,
0.5,0.5,1,326,3. perhaps borrowed,unanalyzable
0,1,1,327,5. no evidence for borrowing,unanalyzable
0,0.5,1,328,5. no evidence for borrowing,unanalyzable
0,0.5,1,329,5. no evidence for borrowing,unanalyzable
0,0.5,1,330,5. no evidence for borrowing,unanalyzable
0.75,0.5,1,331,2. probably borrowed,unanalyzable
0,0.5,1,332,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,333,5. no evidence for borrowing,semi-analyzable
0.75,0.5,1,334,2. probably borrowed,unanalyzable
0.5,0.5,1,335,3. perhaps borrowed,unanalyzable
1,0.8,0.75,336,1. clearly borrowed,semi-analyzable
0,0.5,1,337,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,338,5. no evidence for borrowing,analyzable derived
0,1,1,339,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,340,5. no evidence for borrowing,analyzable phrasal
0,1,1,341,5. no evidence for borrowing,unanalyzable
0.5,0.5,0.75,342,3. perhaps borrowed,semi-analyzable
0.5,0.5,1,343,3. perhaps borrowed,unanalyzable
0,0.5,0.5,344,5. no evidence for borrowing,analyzable derived
0.75,0.5,1,345,2. probably borrowed,unanalyzable
0,0.5,0.5,346,5. no evidence for borrowing,analyzable phrasal
0.5,0.5,1,347,3. perhaps borrowed,unanalyzable
0.5,0.5,0.5,348,3. perhaps borrowed,analyzable derived
1,0.5,1,349,1. clearly borrowed,unanalyzable
0,0.5,0.75,350,5. no evidence for borrowing,semi-analyzable
0,0.5,0.75,351,5. no evidence for borrowing,semi-analyzable
0.5,0.5,0.5,352,3. perhaps borrowed,analyzable phrasal
0,0.5,0.5,353,5. no evidence for borrowing,analyzable phrasal
0.75,0.5,1,354,2. probably borrowed,unanalyzable
0.75,0.5,1,355,2. probably borrowed,unanalyzable
0,0.5,1,356,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,357,5. no evidence for borrowing,semi-analyzable
0,0.5,0.5,358,5. no evidence for borrowing,analyzable derived
0,0.5,0.75,359,5. no evidence for borrowing,semi-analyzable
0,1,1,360,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,361,5. no evidence for borrowing,analyzable phrasal
0.75,0.5,1,362,2. probably borrowed,unanalyzable
0.5,0.5,1,363,3. perhaps borrowed,unanalyzable
0.75,0.5,1,364,2. probably borrowed,unanalyzable
0,1,1,365,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,366,5. no evidence for borrowing,semi-analyzable
0,0.5,1,367,5. no evidence for borrowing,unanalyzable
0.5,0.5,0.5,368,3. perhaps borrowed,analyzable derived
0,0.5,0.75,369,5. no evidence for borrowing,semi-analyzable
0,0.5,1,370,5. no evidence for borrowing,unanalyzable
1,0.8,0.5,371,1. clearly borrowed,analyzable phrasal
1,0.5,0.5,372,1. clearly borrowed,analyzable derived
1,0.8,1,373,1. clearly borrowed,unanalyzable
1,0.8,0.5,374,1. clearly borrowed,analyzable phrasal
1,0.8,1,375,1. clearly borrowed,unanalyzable
1,0.8,1,376,1. clearly borrowed,unanalyzable
1,0.8,1,377,1. clearly borrowed,unanalyzable
1,0.8,1,378,1. clearly borrowed,unanalyzable
1,1,1,379,1. clearly borrowed,unanalyzable
0,0.5,1,380,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,381,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,382,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,383,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,384,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,385,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,386,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,387,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,388,5. no evidence for borrowing,analyzable derived
0,1,1,389,5. no evidence for borrowing,unanalyzable
1,1,1,390,1. clearly borrowed,unanalyzable
0,1,1,391,5. no evidence for borrowing,unanalyzable
0,0.5,1,392,5. no evidence for borrowing,unanalyzable
0,0.5,1,393,5. no evidence for borrowing,unanalyzable
0,0.6,1,394,5. no evidence for borrowing,unanalyzable
0,0.5,1,395,5. no evidence for borrowing,unanalyzable
1,0.5,1,396,1. clearly borrowed,unanalyzable
0,1,1,397,5. no evidence for borrowing,unanalyzable
0,1,1,398,5. no evidence for borrowing,unanalyzable
0.5,0.5,1,399,3. perhaps borrowed,unanalyzable
0,0.5,1,400,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,401,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,402,5. no evidence for borrowing,analyzable derived
0,0.5,1,403,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,404,5. no evidence for borrowing,analyzable derived
0,1,1,405,5. no evidence for borrowing,unanalyzable
0,1,1,406,5. no evidence for borrowing,unanalyzable
,,,58065,,
0,0.5,1,407,5. no evidence for borrowing,unanalyzable
1,0.7,1,408,1. clearly borrowed,unanalyzable
0.75,0.5,0.75,409,2. probably borrowed,semi-analyzable
0.75,0.5,1,410,2. probably borrowed,unanalyzable
0,0.5,0.5,411,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,412,5. no evidence for borrowing,analyzable compound
0,0.5,0.5,413,5. no evidence for borrowing,analyzable compound
0.5,0.5,1,414,3. perhaps borrowed,unanalyzable
1,0.5,1,415,1. clearly borrowed,unanalyzable
0,1,0.5,416,5. no evidence for borrowing,analyzable phrasal
1,0.8,0.5,417,1. clearly borrowed,analyzable phrasal
0,0.5,0.5,418,5. no evidence for borrowing,analyzable phrasal
1,0.5,1,419,1. clearly borrowed,unanalyzable
0,0.5,1,420,5. no evidence for borrowing,unanalyzable
0,0.5,1,421,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,422,5. no evidence for borrowing,analyzable derived
1,0.8,1,423,1. clearly borrowed,unanalyzable
0.75,0.5,1,424,2. probably borrowed,unanalyzable
0,0.5,0.75,425,5. no evidence for borrowing,semi-analyzable
0,0.5,1,426,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,427,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,428,5. no evidence for borrowing,analyzable derived
0.5,0.5,0.5,429,3. perhaps borrowed,analyzable phrasal
0.5,0.5,0.75,430,3. perhaps borrowed,semi-analyzable
1,0.8,1,431,1. clearly borrowed,unanalyzable
0,0.5,0.5,432,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,433,5. no evidence for borrowing,analyzable phrasal
0.75,0.8,1,434,2. probably borrowed,unanalyzable
0.75,0.5,1,435,2. probably borrowed,unanalyzable
0,0.5,1,436,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,437,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,438,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,439,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,440,5. no evidence for borrowing,analyzable phrasal
0.5,0.5,0.5,441,3. perhaps borrowed,analyzable derived
0.5,0.5,1,442,3. perhaps borrowed,unanalyzable
0,1,1,443,5. no evidence for borrowing,unanalyzable
0.5,0.5,1,444,3. perhaps borrowed,unanalyzable
1,0.5,1,445,1. clearly borrowed,unanalyzable
1,0.5,1,446,1. clearly borrowed,unanalyzable
0,0.5,1,447,5. no evidence for borrowing,unanalyzable
0.5,0.5,0.5,448,3. perhaps borrowed,analyzable derived
0,0.5,1,449,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,450,5. no evidence for borrowing,semi-analyzable
0,0.5,0.5,451,5. no evidence for borrowing,analyzable derived
0.5,0.5,1,452,3. perhaps borrowed,unanalyzable
0,0.5,0.75,453,5. no evidence for borrowing,semi-analyzable
0,0.5,0.75,454,5. no evidence for borrowing,semi-analyzable
0,0.5,1,455,5. no evidence for borrowing,unanalyzable
0.5,0.5,1,456,3. perhaps borrowed,unanalyzable
0,0.5,0.75,457,5. no evidence for borrowing,semi-analyzable
0,0.5,1,458,5. no evidence for borrowing,unanalyzable
0,0.5,1,459,5. no evidence for borrowing,unanalyzable
0,0.5,0.75,460,5. no evidence for borrowing,semi-analyzable
0,0.5,1,461,5. no evidence for borrowing,unanalyzable
0.5,0.5,1,462,3. perhaps borrowed,unanalyzable
0,1,1,463,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,464,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,465,5. no evidence for borrowing,analyzable phrasal
0.75,0.5,1,466,2. probably borrowed,unanalyzable
0,1,1,467,5. no evidence for borrowing,unanalyzable
1,0.8,1,468,1. clearly borrowed,unanalyzable
0,0.5,0.75,469,5. no evidence for borrowing,semi-analyzable
0.5,0.5,1,470,3. perhaps borrowed,unanalyzable
0.75,0.5,1,471,2. probably borrowed,unanalyzable
