pk,jsondata,id,name,description,markup_description,latitude,longitude,version
326,,326,Slovenian,,,46,15,1
327,,327,South Sulawesi,,,-5.5,120,1
328,,328,South Cushitic,,,-4,37,1
329,,329,Southern Chinese,,,30,120,1
330,,330,Wardaman,,,-15.5,131,1
331,,331,Sranan,,,5.83333,-55.3333,1
332,,332,Standard Arabic,,,25,42,1
333,,333,Sundanese,,,-7,107,1
334,,334,Suriname Portuguese,,,5.8232,-55.1679,1
335,,335,Tahitian,,,-17.6667,-149.583,1
336,,336,Tai,,,18,101,1
337,,337,Taino,,,25.0343,-77.3963,1
338,,338,Tamasheq,,,23,6,1
339,,339,Tamil,,,11,78.5,1
340,,340,Tatar,,,56,49.5,1
341,,341,Tharrgari,,,-23.75,114.917,1
342,,342,Tibetan,,,30,90,1
343,,343,Tibeto-Burman,,,29,94,1
344,,344,Loloish,,,23,101,1
345,,345,Toba Batak,,,2.5,99,1
346,,346,Tocharian A,,,42.9667,89.1833,1
347,,347,Tocharian B,,,41.7167,82.9333,1
348,,348,Tojolabal,,,16.3333,-91.5,1
349,,349,Tok Pisin,,,-9.5,147.167,1
350,,350,Tolai,,,-4.25,152.083,1
351,,351,Tubu,,,16,15,1
352,,352,Tukano,,,0.5,-69.1667,1
353,,353,Tupí,,,-6,-36,1
354,,354,Tupi-Guaraní,,,-6,-60,1
355,,355,Oghuric,,,56.1375,47.244,1
356,,356,Turkish,,,39,35,1
357,,357,Tzeltal,,,16.8333,-92.25,1
358,,358,Chamula Tzotzil,,,16.5,-92.6667,1
359,,359,Ukrainian,,,49,33,1
360,,360,Unidentified,,,,,1
361,,361,Upper Sorbian,,,51.8333,14.5,1
362,,362,Ute,,,39,-109,1
363,,363,Vlax Romani,,,46,21,1
364,,364,Voltaic,,,11,-2,1
365,,365,Walmajarri,,,-19.5,125.75,1
366,,366,Wambaya,,,-18.6667,135.75,1
367,,367,Warlmanpa,,,-21.82,132.58,1
368,,368,Warlpiri,,,-20,132.333,1
369,,369,Warluwarra,,,-22,138.5,1
370,,370,Warluwarric,,,-23,139,1
371,,371,Warumungu,,,-19.6333,134.167,1
372,,372,Waskia,,,-4.5,146,1
373,,373,Welsh,,,52,-3,1
374,,374,English (West African Coastal),,,5.55,-0.216667,1
375,,375,French (West African),,,5.33333,-4.03333,1
376,,376,Malayo-Polynesian,,,-1,114,1
377,,377,Western Mayan,,,18,-93,1
378,,378,Wiradjuri,,,-36,146,1
379,,379,Wolof,,,15.25,-16,1
380,,380,Tabgač,,,40.82,111.65,1
381,,381,Xiongnu,,,46,106,1
382,,382,Yanyuwa,,,-16.4167,137.167,1
383,,383,Yao,,,-14.5,35.5,1
384,,384,Yoruba,,,8,4.33333,1
385,,385,Yucatecan,,,19,-91,1
386,,386,Zaramo,,,-6.75,39,1
387,,387,Zigua,,,-6,38.6667,1
388,,388,Kumyk,,,43,47.3333,1
389,,389,Azeri,,,38,48,1
390,,390,Punic,,,36.8531,10.3231,1
391,,391,Tongan,,,-21.1667,-175.167,1
392,,392,Samoan,,,-13.9167,-171.833,1
393,,393,Marquesan,,,-8.91667,-140.083,1
394,,394,Croatian,,,45.8103,15.9781,1
395,,395,Twi,,,6.33333,-1.25,1
