ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
230,Nahuatl,,19.4333,-99.1333,,
231,Narragansett,,42.6667,-73.5,mohe1244,mof
232,Neo-Latin,,59.85,17.6333,,
233,Nepali,,28.0,85.0,nepa1252,nep
234,Ngaliwurru,,-15.1667,130.667,,
235,Ngardi,,-21.0,133.0,,
236,Ngarinyman,,-16.5,130.5,ngar1235,nbj
237,Niger-Congo,,6.0,9.0,,
238,Nilo-Saharan,,5.0,30.0,,
239,Nobonob,,-5.23367,145.789,nobo1238,gaw
240,North Germanic,,57.697,11.9864,,
241,Norwegian,,61.0,8.0,norw1259,nob
242,Nungali,,-13.6767,130.714,nung1291,nug
243,Nupe,,9.16667,5.41667,nupe1254,nup
244,Nyamwezi,,-5.0,33.0,nyam1276,nym
245,Nyungar,,-33.75,122.0,nyun1247,nys
246,Occitan,,44.0,2.0,occi1239,oci
247,Oghur,,56.1375,47.244,,
248,Old Chinese,,36.1214,114.317,,
249,Old Frisian,,53.1439,8.21389,,
250,Indic,,28.0,76.0,,
251,Sanskrit,,25.282,82.9563,sans1269,san
252,Old Irish,,54.5211,-6.76757,,
253,Old Javanese,,-6.9196,106.927,,
254,Old Khmer,,13.4333,103.833,,
255,Old Lithuaninian,,55.7333,24.35,,
256,Old Mon,,13.8194,100.058,,
257,Old Norse,,47.0,13.0,noon1243,nhu
258,Old Persian,,34.3883,47.4367,,
259,Old Provençal,,46.5819,0.336111,oldp1253,pro
260,Old Russian,,58.545,31.2691,,
261,Old Slavic,,40.6472,22.9639,,
262,Old Thai,,14.35,100.583,,
263,Oromo,,6.0,40.0,,
264,Ossetian,,43.0,44.0,osse1243,oss
265,Pacific Pidgin English,,-9.5,147.167,tokp1240,tpi
266,Pali,,27.4833,83.2833,,
267,Pama-Nyungan,,-23.0,134.0,,
268,Munda,,23.0,85.0,,
269,Persian,,32.0,54.0,west2369,pes
270,Elamite,,32.2,48.25,,
271,Phoenician,,34.1236,35.6511,,
272,Pilagá,,-25.0,-60.0,pila1245,plg
273,Polish,,52.0,20.0,poli1260,pol
274,Portuguese,,39.0,-8.0,port1283,por
275,Batavian Portuguese Creole,,-6.21154,106.845,,
276,Pre-Malagasy,,-21.0,46.0,,
277,Pre-Minangkabau,,-1.16667,101.167,,
278,Pre-Oromo,,9.0,40.0,,
279,Pre-Rangi,,-4.5,36.0,,
280,Pre-Sandawe,,-5.0,35.0,,
281,Proto-Austronesian,,23.0,120.833,,
282,Proto-Austroasiatic,,24.0,97.0,,
283,Proto Central-Eastern Malayo-Polynesian,,-3.83333,121.333,,
284,Proto-Malayo-Polynesian,,-1.10612,114.144,,
285,Proto-Mon-Khmer,,19.0,102.0,,
286,Proto-Oceanic,,-5.0,150.0,,
287,Proto-Altaic,,48.0,73.0,,
288,Proto-Chadic,,11.0,15.0,,
289,Proto-Finnic,,60.0,40.0,,
290,Proto-Germanic,,55.5,9.0,,
291,Proto-Greater Kanjobalan,,16.0,-92.0,,
292,Proto-Hmong-Mien,,25.0,106.0,,
293,Proto-Indo-European,,42.0,36.0,,
294,Proto-Mixe-Zoquean,,17.0,-95.0,,
295,Proto-Mixean,,17.0833,-96.0,,
296,Proto-Mongolic,,44.0,99.0,,
297,Proto-Semitic,,33.0,40.0,,
298,Proto-Slavic,,49.0,23.0,,
299,Proto-Tai,,17.0,101.0,,
300,Proto-West Chadic,,12.0,9.25,,
301,Proto-Yucatecan,,18.0,-90.0,,
302,Q’anjob’alan,,16.0,-93.0,,
303,Qiangic,,30.0,102.667,,
304,Quechua,,-14.25,-73.0,,
305,Quiche,,15.0,-91.4167,kich1262,quc
306,Ramoaaina,,-4.13333,152.467,ramo1244,rai
307,Rarotongan,,-21.2,-159.767,raro1241,rar
308,Romance,,45.7333,7.31667,,
309,Russian,,56.0,38.0,russ1263,rus
310,Ryukyuan,,26.3328,127.749,,
311,Saharan,,14.0,9.0,,
312,Sambaa,,-4.25,38.25,sham1280,ksb
313,Sandawe,,-5.0,35.0,sand1273,sad
314,Gaelic (Scottish),,57.0,-4.0,scot1245,gla
315,Selkup,,65.0,82.0,selk1253,sel
316,Semitic,,34.0,41.0,,
317,Sena,,-18.0,35.25,nucl1396,seh
318,Serbian,,44.8206,20.4622,serb1264,srp
319,Slavic,,50.0,24.0,,
320,East Slavic,,55.0,33.0,,
321,Slovak,,49.0,20.0,slov1269,slk
322,Songhay,,17.0,0.0,,
323,South Aslian,,3.0,102.0,,
324,South Slavic,,43.0,21.0,,
325,Macedonian,,41.6667,21.75,mace1250,mkd
326,Slovenian,,46.0,15.0,slov1268,slv
327,South Sulawesi,,-5.5,120.0,,
328,South Cushitic,,-4.0,37.0,,
329,Southern Chinese,,30.0,120.0,,
330,Wardaman,,-15.5,131.0,ward1246,wrr
331,Sranan,,5.83333,-55.3333,sran1240,srn
332,Standard Arabic,,25.0,42.0,stan1318,arb
333,Sundanese,,-7.0,107.0,sund1252,sun
334,Suriname Portuguese,,5.8232,-55.1679,,
335,Tahitian,,-17.6667,-149.583,tahi1242,tah
336,Tai,,18.0,101.0,,
337,Taino,,25.0343,-77.3963,tain1254,tnq
338,Tamasheq,,23.0,6.0,,
339,Tamil,,11.0,78.5,tami1289,tam
340,Tatar,,56.0,49.5,tata1255,tat
341,Tharrgari,,-23.75,114.917,dhar1247,dhr
342,Tibetan,,30.0,90.0,,
343,Tibeto-Burman,,29.0,94.0,,
344,Loloish,,23.0,101.0,,
345,Toba Batak,,2.5,99.0,bata1289,bbc
346,Tocharian A,,42.9667,89.1833,,
347,Tocharian B,,41.7167,82.9333,,
348,Tojolabal,,16.3333,-91.5,tojo1241,toj
349,Tok Pisin,,-9.5,147.167,tokp1240,tpi
350,Tolai,,-4.25,152.083,kuan1248,ksd
351,Tubu,,16.0,15.0,daza1242,dzg
352,Tukano,,0.5,-69.1667,tuca1252,tuo
353,Tupí,,-6.0,-36.0,,
354,Tupi-Guaraní,,-6.0,-60.0,,
355,Oghuric,,56.1375,47.244,,
356,Turkish,,39.0,35.0,nucl1301,tur
357,Tzeltal,,16.8333,-92.25,tzel1255,tzb
358,Chamula Tzotzil,,16.5,-92.6667,tzot1262,tzc
359,Ukrainian,,49.0,33.0,ukra1253,ukr
360,Unidentified,,,,,
361,Upper Sorbian,,51.8333,14.5,uppe1395,hsb
362,Ute,,39.0,-109.0,utes1238,ute
363,Vlax Romani,,46.0,21.0,vlax1238,rmy
364,Voltaic,,11.0,-2.0,,
365,Walmajarri,,-19.5,125.75,walm1241,wmt
366,Wambaya,,-18.6667,135.75,wamb1258,wmb
367,Warlmanpa,,-21.82,132.58,wail1242,wlr
368,Warlpiri,,-20.0,132.333,warl1254,wbp
369,Warluwarra,,-22.0,138.5,warl1256,wrb
370,Warluwarric,,-23.0,139.0,,
371,Warumungu,,-19.6333,134.167,waru1265,wrm
372,Waskia,,-4.5,146.0,wask1241,wsk
373,Welsh,,52.0,-3.0,wels1247,cym
374,English (West African Coastal),,5.55,-0.216667,nige1257,pcm
375,French (West African),,5.33333,-4.03333,,
376,Malayo-Polynesian,,-1.0,114.0,,
377,Western Mayan,,18.0,-93.0,,
378,Wiradjuri,,-36.0,146.0,wira1262,wrh
379,Wolof,,15.25,-16.0,nucl1347,wol
380,Tabgač,,40.82,111.65,,
381,Xiongnu,,46.0,106.0,,
382,Yanyuwa,,-16.4167,137.167,yany1243,jao
383,Yao,,-14.5,35.5,yaoo1241,yao
384,Yoruba,,8.0,4.33333,yoru1245,yor
385,Yucatecan,,19.0,-91.0,,
386,Zaramo,,-6.75,39.0,zara1247,zaj
387,Zigua,,-6.0,38.6667,zigu1242,ziw
388,Kumyk,,43.0,47.3333,kumy1244,kum
389,Azeri,,38.0,48.0,sout2697,azb
390,Punic,,36.8531,10.3231,puni1241,xpu
391,Tongan,,-21.1667,-175.167,tong1325,ton
392,Samoan,,-13.9167,-171.833,samo1305,smo
393,Marquesan,,-8.91667,-140.083,sout2866,mqm
394,Croatian,,45.8103,15.9781,croa1245,hrv
395,Twi,,6.33333,-1.25,,twi
